publish_date,company_name,industry,industry_raw,recruit_types,recruit_type_raw,company_nature,company_nature_raw,target_raw,grade_min,grade_max,education,positions,cities,notice_url,apply_url,deadline,deadline_date,remark
2026-08-19,华勤技术,智能硬件/机器人,智能硬件,秋招,秋招,民企,民企,27届,27,27,本科,"硬件类,测试类,工程技术类,结构类,算法类,运营类,软件类,IT类,平台类","北京,天津,上海,无锡,南昌,武汉,河源,东莞,重庆,西安,海外",https://mp.weixin.qq.com/s/EIlRzkasgYqgO9dZu7kEUQ,https://app.mokahr.com/m/campus-recruitment/hq/43409#/home,招满即止,,
2026-08-19,埃斯顿,智能硬件/机器人,智能硬件,秋招,秋招,民企,民企,26届-27届,26,27,本科,"具身智能算法工程师,视觉AI算法工程师,机器人算法工程师,算法工程师,软件工程师,硬件工程师,嵌入式软件工程师,机器人软件工程师,上位机软件开发工程师,机械研发工程师,电机研发工程师,系统工程师","南京,深圳",https://mp.weixin.qq.com/s/CRxy0i6jkq7iFZk0FHLXLA,https://estun1.zhiye.com/campus,招满即止,,
2026-08-19,韶音科技,"智能硬件/机器人,消费品/零售/快消","智能硬件, 耐用消费品",秋招,秋招,民企,民企,26届-27届,26,27,本科,"产品经理培训生,软件产品经理,APP产品经理,用户与市场研究（战略方向）,用户与市场研究（用户体验方向）,人因工程师,产品GTM培训生,工业设计师,CMF设计师,AI应用工程师,算法工程师,嵌入式开发",深圳,https://mp.weixin.qq.com/s/rc1RR-QOxBXv6YiuiO-chA,https://hr.shokz.com.cn/apply/aftershokzhr/40779/#/,招满即止,,
2026-08-19,波克,互联网/软件/游戏,IT/互联网/游戏,秋招,秋招,民企,民企,27届,27,27,本科,"算法工程师,游戏开发工程师,应用研发工程师,游戏策划,游戏运营,数据运营,数值策划,AI产品经理,原画设计师,游戏UI设计师,游戏音效师,3D动效设计师,发行运营,创意编导,用户增长,视频设计,品牌营销",上海,https://mp.weixin.qq.com/s/AzR1I2FAA0XB7-QhmvsSug,https://boke.jobs.feishu.cn/581609/position/list,招满即止,,
2026-08-19,Sea,互联网/软件/游戏,IT/互联网/游戏,秋招,秋招,外企/合资,外企/合资,27届,27,27,本科,"电商产品经理,供应链产品经理,策略产品经理,数据产品经理,商业拓展,商业分析,市场营销,品类策略,供应链管理,支付产品经理,信贷消费金融产品经理,风控合规产品经理,风险管理,增长与商业化,服务运营","北京,上海,广州,深圳,海外",https://mp.weixin.qq.com/s/0-_T8iY_2ERwFwRoCCE4XQ,https://app.mokahr.com/m/campus-recruitment/shopee/170435?hash=job90611de8-f66d-42c0-920e-3972682a596ffromqrcode,2026-10-13,2026-10-13,
2026-08-19,纳科诺尔,机械/制造/汽车,制造业,秋招,秋招,民企,民企,27届,27,27,本科,"机械类,电气类,工艺类,算法类,AI应用类,国内销售,海外市场销售,售前技术,采购类,运营类,人力行政类,法务审计类,质量类,调试类,生产管理类","邢台,常州,深圳",https://mp.weixin.qq.com/s/M2KUyDKszLigy6ZIaYUZng,https://mp.weixin.qq.com/s/M2KUyDKszLigy6ZIaYUZng,招满即止,,
2026-08-19,中微爱芯,电子/半导体/通信,通信/电子/半导体,秋招,秋招,民企,民企,27届,27,27,本科,"数字集成电路设计工程师,模拟集成电路设计工程师,数模混合集成电路设计工程师,电机驱动软件开发工程师,嵌入式软件开发工程师,测试应用工程师,技术支持工程师,上位机软件开发工程师,PTE工程师,集成电路版图","无锡,合肥,深圳",https://mp.weixin.qq.com/s/QLHQtmGt1YmowTA_7OehvA,https://mp.weixin.qq.com/s/QLHQtmGt1YmowTA_7OehvA,招满即止,,
2026-08-19,平安银行深圳分行,金融,金融业,秋招,秋招,央国企,银行,26届-27届,26,27,本科,"深圳分行培训生,零售业务培训生,公司业务培训生,运营培训生",深圳,https://mp.weixin.qq.com/s/22hYjmdEmL3vCeuch0CT9g?scene=1&click_id=713635749,https://wetalent.pingan.com/cb3685e9c6163b7cb82ea4352291031e/campus/search?from=home&tab=city,招满即止,,
2026-08-19,启云方,互联网/软件/游戏,IT/互联网/游戏,秋招,秋招,民企,民企,26届-27届,26,27,本科,"AI软件开发工程师,AI模型工程师,AI算法工程师,AI Agent工程师,算法工程师(布局布线),算法工程师(计算光刻),算法工程师(安全方向),智能排程算法工程师,视觉算法工程师,AI for F","武汉,西安,成都,深圳,上海",https://mp.weixin.qq.com/s/oHc9vIh-OlGLu2So2QqJ9g?scene=1,https://mp.weixin.qq.com/s/oHc9vIh-OlGLu2So2QqJ9g?scene=1,招满即止,,
2026-08-19,优衣库,消费品/零售/快消,服装/纺织/体育用品/批发/零售,秋招,秋招,外企/合资,外企/合资,26届-27届,26,27,本科,"优衣库经营管理培训生,专业不限",全国,https://mp.weixin.qq.com/s/AtJqBs5SaLPzbiwgMZmxVw,https://uniqlo.zhiye.com/campus/detail?jobAdId=b4f2dd8d-3a74-4f0f-b4a9-d0cc4398db96,招满即止,,
2026-08-19,新东方湖北省域,教育培训/科研,教育/培训/科研,秋招提前批,秋招提前批,民企,民企,27届,27,27,本科,"青少班课教师,初中班课教师,高中班课教师,高中一对一教师,教学研发,品牌营销岗,运营岗,新媒体岗,职能储备岗,人力资源岗,财务岗",湖北,https://mp.weixin.qq.com/s/JBRjBfcJrMhFaj25FKKZMw?scene=1,https://mp.weixin.qq.com/s/JBRjBfcJrMhFaj25FKKZMw?scene=1,招满即止,,
2026-08-19,杰理科技,电子/半导体/通信,通信/电子/半导体,秋招,秋招,民企,民企,27届,27,27,本科,"通信算法工程师,音频算法工程师,图像算法工程师,语言识别算法工程师,DSP工程师,模拟电路设计工程师,模拟电路助理工程师,模拟射频电路设计工程师,数字后端工程师,模拟版图工程师,数字前端CAD工程师","无锡,深圳,珠海",https://mp.weixin.qq.com/s/WLCk_mzFdbr82gbmV029Hg,https://test03.jieliapp.com/health/web/jieli/resume/fillin,招满即止,,
2026-08-19,中共杭州市委党校萧山区分校,政府/事业单位/公共服务,机构/组织/政府,秋招,秋招,事业单位,事业单位,24届-26届,24,26,硕士,教研人员,杭州,https://www.xiaoshan.gov.cn/col/col1229893446/art/2026/art_c9cc6e6da1204239b1ea49fbfec91254.html,https://www.xiaoshan.gov.cn/col/col1229893446/art/2026/art_c9cc6e6da1204239b1ea49fbfec91254.html,2026-08-26,2026-08-26,
2026-08-19,平安银行兰州分行,金融,金融业,秋招,秋招,央国企,银行,26届-27届,26,27,本科,"兰州分行培训生,兰州分行运营培训生,兰州分行公司业务培训生,兰州分行零售业务培训生",兰州,https://mp.weixin.qq.com/s/SGcBdTaxJuex4lHFEVWV4A?scene=1&click_id=1708999618,https://wetalent.pingan.com/cb3685e9c6163b7cb82ea4352291031e/campus/search?from=home&tab=city,招满即止,,
2026-08-19,天津市应急管理科学技术研究院,政府/事业单位/公共服务,机构/组织/政府,秋招,秋招,事业单位,事业单位,24届-26届,24,26,硕士,专业技术岗,天津,https://hrss.tj.gov.cn/jsdw/rsksw/tzgg4/202608/t20260817_7353272.html,http://tianjin.cptae.com:8129/tip/stdrg.do?method=queryExamAndNotice,2026-08-27,2026-08-27,
2026-08-19,零跑汽车,能源/化工/环保,新能源,秋招,秋招,民企,民企,27届,27,27,本科,"智驾算法类（含AI方向）,三电算法类,嵌软类,硬件类,大数据类,整车研发类,电池研发类,电驱研发类",杭州,https://mp.weixin.qq.com/s/yk8Cy9PPKuMJj-COKpcCow,https://leapmotor1.zhiye.com/campus,招满即止,,
2026-08-19,赣锋锂业,能源/化工/环保,新能源,秋招,秋招,民企,民企,27届,27,27,本科,"研发类//电化学,化学化工,材料工程,冶金工程,矿物工程等","上海,苏州,宁波,南昌,新余,宜春,郴州,惠州,东莞,达州,昆明,海外",https://mp.weixin.qq.com/s/he2K1sQROIkappdBooPR1g,https://mp.weixin.qq.com/s/he2K1sQROIkappdBooPR1g,招满即止,,
2026-08-19,天津创业环保集团,能源/化工/环保,能源/化工/环保,秋招,秋招,央国企,央国企,25届-26届,25,26,本科,"博士后工作站博士后(智慧水务),博士后工作站博士后(工业废水),营销管理岗,会计岗","天津,巴彦淖尔,常德,六安",https://mp.weixin.qq.com/s/jmeGEoepOBsxo-N_ZATdlQ?scene=1,https://xyz.51job.com/External/Apply.aspx?CtmID=6547352,2026-09-01,2026-09-01,
2026-08-19,盈峰环境,能源/化工/环保,能源/化工/环保,秋招,秋招,民企,民企,27届,27,27,本科,"研发技术类,互联网IT类,技术支持类,财务金融类,项目运营类,营销服务类,综合管理类","长沙,绍兴,全国,佛山,海外",https://mp.weixin.qq.com/s/kSc1dQaeyNrlVTz4WVRstg,https://app.mokahr.com/campus-recruitment/inforeenviro/182015#/jobs,招满即止,,
2026-08-19,易方达基金,金融,金融业,秋招,秋招,民企,民企,27届,27,27,本科,"大模型算法工程师AI数据工程师AI全栈工程师AI安全工程师权益投研与量化融合量化投资信用研究,资产配置指数研究固收量化国际固收投研平台建设固收业务机构中台股票交易营销与渠道运营风控合规产品与发展研究基金运营与综合职能","北京,上海,广州,深圳,香港",https://mp.weixin.qq.com/s/dGHPk5AVNL1t5ddS6ttwBA,https://job.efunds.com.cn/,2026-10-11,2026-10-11,
2026-08-19,北太振寰,互联网/软件/游戏,IT/互联网/游戏,秋招,秋招,民企,民企,27届,27,27,本科,"软件开发工程师（绘图/APP）,软件开发工程师（JIT/并行计算）,软件开发工程师（内置函数）,算法工程师（深度学习/大模型）。数学,计算机,人工智能,软件,自动化,计算流体力学,图形图像处理等专业","北京,重庆,成都",https://mp.weixin.qq.com/s/v8-NvHzb-eOO-7Eb03b7EQ,https://mp.weixin.qq.com/s/v8-NvHzb-eOO-7Eb03b7EQ,招满即止,,
2026-08-19,华为半导体业务部,电子/半导体/通信,通信/电子/半导体,秋招,秋招,民企,民企,27届,27,27,本科,"芯片与器件设计工程师(数字芯片/算力处理器芯片/模拟芯片/射频芯片/芯片测试工程/芯片封装工程与PISI/ASIC芯片设计/芯片可靠性工程/光芯片/芯片产品工程/工艺评估及模型定制),AI Infra","深圳,上海,北京,南京,杭州,西安,东莞,武汉,成都,苏州",https://mp.weixin.qq.com/s/o7XnMlb8fmw1XKgvxA96pw,https://career.huawei.com/,招满即止,,
2026-08-19,长春永固科技有限公司,互联网/软件/游戏,IT/互联网/游戏,秋招,秋招,民企,民企,27届,27,27,本科,"研发主管,研发员,工艺工程师,技术服务工程师,质量工程师,机械工程师,实验员,技术员",长春,https://mp.weixin.qq.com/s/R9tuWDW64DPmiy0JHdgVjw,https://mp.weixin.qq.com/s/R9tuWDW64DPmiy0JHdgVjw,招满即止,,
2026-08-19,鼓楼区属国企集团,政府/事业单位/公共服务,国资平台,秋招,秋招,央国企,央国企,26届,26,26,本科,"安全管理人员,出纳",南京,http://www.njgl.gov.cn/glzx/gstg/zfbm/gzb/202608/t20260811_5892353.html,http://8.153.148.210/zp/,2026-08-20,2026-08-20,
2026-08-19,中伟集团,能源/化工/环保,能源/化工/环保,秋招,秋招,民企,民企,27届,27,27,本科,"研发技术类,生产运营类,质控体系类,市场营销类,融资证券类,人力资源类,信息技术类,多语服务类,行政运营类,财务管理类,安环管理类,机械设备类,矿业资源类","湖南,贵州,广西,上海,印度尼西亚,阿根廷,摩洛哥",https://mp.weixin.qq.com/s/pl7VbXqnz4qHchq8__ybbQ,https://wecruit.hotjob.cn/SU61ebbdfdbef57c632beecbc5/pb/index.html,招满即止,,
2026-08-19,沃尔玛中国,消费品/零售/快消,贸易/批发/零售,秋招,秋招,外企/合资,外企/合资,26届-27届,26,27,本科,"支持中心（总部）管培生,业态门店管培生,山姆门店管培生,供应链区域管培生,专业不限","深圳,全国",https://mp.weixin.qq.com/s/nwvYWZyWERWMDAjm8JXQjw,https://walmart.zhaopin.com/,招满即止,,
2026-08-19,无为而智ComindX,互联网/软件/游戏,IT/互联网/游戏,秋招,秋招,民企,民企,27届,27,27,本科,"客户端开发全栈工程师,硬件工程师,记忆智能体工程师。电子工程,计算机,自动化",北京,https://mp.weixin.qq.com/s/FMxAnNha-SOQO3_rS9jRHw,https://mp.weixin.qq.com/s/FMxAnNha-SOQO3_rS9jRHw,招满即止,,
2026-08-19,华为2012实验室,互联网/软件/游戏,IT/互联网/游戏,秋招,秋招,民企,民企,26届-27届,26,27,本科,"AI Infra工程师,AI模型工程师,AI应用工程师,AI安全与隐私工程师,AI Infra研究员,AI模型研究员,AI应用研究员,AI安全与隐私研究员,软件开发工程师,软件开发高级工程师,硬件技术","深圳,东莞,北京,上海,杭州,南京,西安,成都,武汉,合肥",https://mp.weixin.qq.com/s/hGSok5pIwr5q96-Cau-57Q?scene=1,https://career.huawei.com/cn/campus-recruitment,招满即止,,
2026-08-19,四川天府江东科技有限公司,机械/制造/汽车,制造业,秋招,秋招,民企,民企,27届,27,27,本科,"机械类,工艺类,电气类,数字化类",眉山,https://mp.weixin.qq.com/s/WPRAcTN_KeykyqE_IYybng,https://mp.weixin.qq.com/s/WPRAcTN_KeykyqE_IYybng,2027-06-30,2027-06-30,
2026-08-19,瀚海聚能,能源/化工/环保,新能源,秋招,秋招,民企,民企,27届,27,27,本科,"机械工程师,材料工程师,真空机械工程师,数值模拟工程师,电源工程师,光学诊断工程师,辐射诊断工程师,磁体工艺工程师,磁体设计工程师,软件工程师,软件集成与测试工程师,控制与硬件工程师,系统集成与测试工程师",成都,https://mp.weixin.qq.com/s/4MymxNIP-Be1njXB7-X4lw,https://www.hhmax-energy.com/,招满即止,,
2026-08-19,安克创新,"智能硬件/机器人,消费品/零售/快消","智能硬件, 耐用消费品",秋招,秋招,民企,民企,27届,27,27,本科,"研发技术,产品与体验,设计,市场营销,采购与供应链,品质,数据开发,职能,制造","北京,上海,苏州,杭州,长沙,深圳,西安,海外",https://mp.weixin.qq.com/s/cMFy5N9VhC1ASIPbnPdl8w,https://career.anker.com.cn/universities/recruitment/new/?channel=campus,招满即止,,
2026-08-19,荣耀,"智能硬件/机器人,消费品/零售/快消","智能硬件, 耐用消费品",秋招,秋招,民企,民企,27届,27,27,本科,"研发,营销,服务,产品与设计,供应链,财经,流程IT与质量运营,战略管理","北京,上海,南京,深圳,西安",https://mp.weixin.qq.com/s/bjrd8le760hqRqU36sDUQw,http://www.honor.com/cn/career/,2026-09-30,2026-09-30,
